Reaction,Dataset,Reference,Reference_in_kcal_mol,TAE_in_kcal_mol,Number_of_atoms,Stoichiometry,Subset
TAE-PTComp_0500_plight_p_27,TAE-PTComp,0.139767345288741,87.7053333333333,1052.464,12,"-0.0833333333333333,plight_p_27,0.416666666666667,H,0.166666666666667,C,0.0833333333333333,O,0.0833333333333333,P,0.25,S",plight_p
TAE-PTComp_0501_plight_p_28,TAE-PTComp,0.172676277376976,108.356,1191.916,11,"-0.0909090909090909,plight_p_28,0.454545454545455,H,0.454545454545455,C,0.0909090909090909,P",plight_p
TAE-PTComp_0502_plight_p_29,TAE-PTComp,0.159592354259251,100.145714285714,2103.06,21,"-0.0476190476190476,plight_p_29,0.428571428571429,H,0.142857142857143,C,0.285714285714286,O,0.142857142857143,P",plight_p
TAE-PTComp_0503_plight_p_30,TAE-PTComp,0.159986804094088,100.393235294118,1706.685,17,"-0.0588235294117647,plight_p_30,0.529411764705882,H,0.352941176470588,C,0.0588235294117647,O,0.0588235294117647,P",plight_p
TAE-PTComp_0504_plight_p_31,TAE-PTComp,0.137948116447554,86.56375,346.255,4,"-0.25,plight_p_31,0.5,H,0.25,C,0.25,P_cation",plight_p
TAE-PTComp_0505_plight_p_32,TAE-PTComp,0.155587026760198,97.6323333333333,2050.279,21,"-0.0476190476190476,plight_p_32,0.619047619047619,H,0.285714285714286,C,0.0476190476190476,P_cation,0.0476190476190476,P",plight_p
TAE-PTComp_0506_plight_p_33,TAE-PTComp,0.133804047847514,83.9633076923077,1091.523,13,"-0.0769230769230769,plight_p_33,0.384615384615385,H,0.0769230769230769,C,0.0769230769230769,O,0.153846153846154,F,0.0769230769230769,P_cation,0.153846153846154,P,0.0769230769230769,Cl",plight_p
TAE-PTComp_0507_plight_p_34,TAE-PTComp,0.122550500316856,76.9016,384.508,5,"-0.2,plight_p_34,0.2,H,0.2,P_cation,0.6,P",plight_p
TAE-PTComp_0508_plight_p_35,TAE-PTComp,0.150871403870785,94.6732352941176,1609.445,17,"-0.0588235294117647,plight_p_35,0.705882352941177,H,0.235294117647059,C,0.0588235294117647,P_cation",plight_p
TAE-PTComp_0509_plight_p_36,TAE-PTComp,0.180116248193167,113.024652173913,2599.567,23,"-0.0434782608695652,plight_p_36,0.478260869565217,H,0.434782608695652,C,0.0434782608695652,N,0.0434782608695652,P_cation",plight_p
TAE-PTComp_0510_plight_p_37,TAE-PTComp,0.106771694722274,67.00025,536.002,8,"-0.125,plight_p_37,0.75,H,0.125,Si_cation,0.125,P",plight_p
TAE-PTComp_0511_plight_s_1,TAE-PTComp,0.117011380759833,73.42575,293.703,4,"-0.25,plight_s_1,0.5,H,0.25,B,0.25,S_anion",plight_s
TAE-PTComp_0512_plight_s_2,TAE-PTComp,0.1202187426933,75.4384,377.192,5,"-0.2,plight_s_2,0.6,H,0.2,C,0.2,S_anion",plight_s
TAE-PTComp_0513_plight_s_3,TAE-PTComp,0.145361683135578,91.2158333333333,547.295,6,"-0.166666666666667,plight_s_3,0.166666666666667,H,0.666666666666667,O,0.166666666666667,S_anion",plight_s
TAE-PTComp_0514_plight_s_4,TAE-PTComp,0.0852465217037041,53.493,160.479,3,"-0.333333333333333,plight_s_4,0.333333333333333,H,0.333333333333333,S_anion,0.333333333333333,S",plight_s
TAE-PTComp_0515_plight_s_5,TAE-PTComp,0.117083225624647,73.4708333333333,440.825,6,"-0.166666666666667,plight_s_5,0.166666666666667,H,0.166666666666667,C,0.166666666666667,O,0.166666666666667,S_anion,0.333333333333333,S",plight_s
TAE-PTComp_0516_plight_s_6,TAE-PTComp,0.179146299213796,112.416,1461.408,13,"-0.0769230769230769,plight_s_6,0.384615384615385,H,0.461538461538462,C,0.0769230769230769,O,0.0769230769230769,S_anion",plight_s
TAE-PTComp_0517_plight_s_7,TAE-PTComp,0.124274959198261,77.9837142857143,545.886,7,"-0.142857142857143,plight_s_7,0.428571428571429,H,0.142857142857143,B,0.428571428571429,S",plight_s
TAE-PTComp_0518_plight_s_8,TAE-PTComp,0.101732992576694,63.8384166666667,766.061,12,"-0.0833333333333333,plight_s_8,1,S",plight_s
TAE-PTComp_0519_plight_s_9,TAE-PTComp,0.178089210260161,111.752666666667,335.258,3,"-0.333333333333333,plight_s_9,0.333333333333333,C,0.333333333333333,O,0.333333333333333,S",plight_s
TAE-PTComp_0520_plight_s_10,TAE-PTComp,0.139290008538119,87.4058,874.058,10,"-0.1,plight_s_10,0.5,H,0.2,C,0.1,N,0.2,S",plight_s
TAE-PTComp_0521_plight_s_11,TAE-PTComp,0.136185832297739,85.4579,854.579,10,"-0.1,plight_s_11,0.6,H,0.2,C,0.1,O,0.1,S",plight_s
TAE-PTComp_0522_plight_s_12,TAE-PTComp,0.142015120116533,89.1158333333333,534.695,6,"-0.166666666666667,plight_s_12,0.333333333333333,H,0.333333333333333,C,0.333333333333333,S",plight_s
TAE-PTComp_0523_plight_s_13,TAE-PTComp,0.0986731450163047,61.9183333333333,1114.53,18,"-0.0555555555555556,plight_s_13,0.666666666666667,H,0.333333333333333,S",plight_s
TAE-PTComp_0524_plight_s_14,TAE-PTComp,0.107153362266589,67.23975,268.959,4,"-0.25,plight_s_14,0.5,H,0.25,O,0.25,S",plight_s
TAE-PTComp_0525_plight_s_15,TAE-PTComp,0.144031123787868,90.3808947368421,1717.237,19,"-0.0526315789473684,plight_s_15,0.421052631578947,H,0.157894736842105,C,0.0526315789473684,N,0.157894736842105,O,0.157894736842105,F,0.0526315789473684,S",plight_s
TAE-PTComp_0526_plight_s_16,TAE-PTComp,0.150460357815261,94.4153,4720.765,50,"-0.02,plight_s_16,0.44,H,0.2,C,0.28,O,0.08,S",plight_s
TAE-PTComp_0527_plight_s_17,TAE-PTComp,0.0929383046427157,58.3196666666667,349.918,6,"-0.166666666666667,plight_s_17,0.333333333333333,H,0.666666666666667,S",plight_s
TAE-PTComp_0528_plight_s_18,TAE-PTComp,0.110602513378182,69.404125,555.233,8,"-0.125,plight_s_18,0.25,H,0.125,C,0.125,O,0.125,F,0.25,S,0.125,Cl",plight_s
TAE-PTComp_0529_plight_s_19,TAE-PTComp,0.107437421722848,67.418,202.254,3,"-0.333333333333333,plight_s_19,0.333333333333333,N,0.333333333333333,F,0.333333333333333,S",plight_s
TAE-PTComp_0530_plight_s_20,TAE-PTComp,0.117825768008804,73.9367857142857,1035.115,14,"-0.0714285714285714,plight_s_20,0.285714285714286,P,0.714285714285714,S",plight_s
TAE-PTComp_0531_plight_s_21,TAE-PTComp,0.139767345288741,87.7053333333333,1052.464,12,"-0.0833333333333333,plight_s_21,0.416666666666667,H,0.166666666666667,C,0.0833333333333333,O,0.0833333333333333,P,0.25,S",plight_s
TAE-PTComp_0532_plight_s_22,TAE-PTComp,0.104387091504378,65.5038888888889,589.535,9,"-0.111111111111111,plight_s_22,0.333333333333333,O,0.666666666666667,S",plight_s
TAE-PTComp_0533_plight_s_23,TAE-PTComp,0.176367191106671,110.672083333333,1328.065,12,"-0.0833333333333333,plight_s_23,0.333333333333333,H,0.5,C,0.166666666666667,S",plight_s
TAE-PTComp_0534_plight_s_24,TAE-PTComp,0.112313842122028,70.478,422.868,6,"-0.166666666666667,plight_s_24,0.166666666666667,O,0.666666666666667,F,0.166666666666667,S",plight_s
TAE-PTComp_0535_plight_s_25,TAE-PTComp,0.121957786822149,76.5296666666667,229.589,3,"-0.333333333333333,plight_s_25,0.333333333333333,Si,0.666666666666667,S",plight_s
TAE-PTComp_0536_plight_s_26,TAE-PTComp,0.137029405218754,85.98725,343.949,4,"-0.25,plight_s_26,0.75,O,0.25,S",plight_s
TAE-PTComp_0537_plight_s_27,TAE-PTComp,0.093312933780681,58.55475,234.219,4,"-0.25,plight_s_27,0.25,O,0.25,S,0.5,Cl",plight_s
TAE-PTComp_0538_plight_s_28,TAE-PTComp,0.168454827168666,105.707,1797.019,17,"-0.0588235294117647,plight_s_28,0.411764705882353,H,0.352941176470588,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,S",plight_s
TAE-PTComp_0539_plight_s_29,TAE-PTComp,0.183778344296865,115.322652173913,2652.421,23,"-0.0434782608695652,plight_s_29,0.347826086956522,H,0.521739130434783,C,0.130434782608696,S",plight_s
TAE-PTComp_0540_plight_s_30,TAE-PTComp,0.142229838938809,89.2505714285714,624.754,7,"-0.142857142857143,plight_s_30,0.571428571428571,H,0.285714285714286,C,0.142857142857143,S",plight_s
TAE-PTComp_0541_plight_s_31,TAE-PTComp,0.158907333298413,99.7158571428571,698.011,7,"-0.142857142857143,plight_s_31,0.285714285714286,H,0.285714285714286,C,0.285714285714286,N,0.142857142857143,S",plight_s
TAE-PTComp_0542_plight_s_32,TAE-PTComp,0.18242593097246,114.474,1259.214,11,"-0.0909090909090909,plight_s_32,0.454545454545455,H,0.454545454545455,C,0.0909090909090909,S_cation",plight_s
TAE-PTComp_0543_plight_s_33,TAE-PTComp,0.143368125679981,89.9648571428571,1259.508,14,"-0.0714285714285714,plight_s_33,0.642857142857143,H,0.214285714285714,C,0.0714285714285714,S_cation,0.0714285714285714,S",plight_s
TAE-PTComp_0544_plight_s_34,TAE-PTComp,0.151222099302453,94.8933,948.933,10,"-0.1,plight_s_34,0.2,H,0.2,C,0.2,N,0.3,F,0.1,S_cation",plight_s
TAE-PTComp_0545_plight_s_35,TAE-PTComp,0.14754062955842,92.5831428571429,648.082,7,"-0.142857142857143,plight_s_35,0.571428571428571,H,0.142857142857143,C,0.142857142857143,N,0.142857142857143,S_cation",plight_s
TAE-PTComp_0546_plight_cl_1,TAE-PTComp,0.113395991239447,71.1570588235294,1209.67,17,"-0.0588235294117647,plight_cl_1,0.705882352941177,H,0.235294117647059,B,0.0588235294117647,Cl_anion",plight_cl
TAE-PTComp_0547_plight_cl_2,TAE-PTComp,0.121637685413375,76.3288,381.644,5,"-0.2,plight_cl_2,0.4,H,0.4,C,0.2,Cl_anion",plight_cl
TAE-PTComp_0548_plight_cl_3,TAE-PTComp,0.0910373506078022,57.1268,285.634,5,"-0.2,plight_cl_3,0.4,C,0.2,N,0.2,Cl_anion,0.2,Cl",plight_cl
TAE-PTComp_0549_plight_cl_4,TAE-PTComp,0.138513427123393,86.918487804878,3563.658,41,"-0.024390243902439,plight_cl_4,0.48780487804878,Si,0.024390243902439,Cl_anion,0.48780487804878,Cl",plight_cl
TAE-PTComp_0550_plight_cl_5,TAE-PTComp,0.105071023188042,65.9330625,1054.929,16,"-0.0625,plight_cl_5,0.75,Al,0.25,Cl",plight_cl
TAE-PTComp_0551_plight_cl_6,TAE-PTComp,0.126107856966065,79.133875,633.071,8,"-0.125,plight_cl_6,0.25,B,0.75,Cl",plight_cl
TAE-PTComp_0552_plight_cl_7,TAE-PTComp,0.106487037665475,66.821625,534.573,8,"-0.125,plight_cl_7,0.125,H,0.125,B,0.125,N,0.625,Cl",plight_cl
TAE-PTComp_0553_plight_cl_8,TAE-PTComp,0.138216771089916,86.7323333333333,520.394,6,"-0.166666666666667,plight_cl_8,0.333333333333333,H,0.333333333333333,C,0.333333333333333,Cl",plight_cl
TAE-PTComp_0554_plight_cl_9,TAE-PTComp,0.127344292481494,79.90975,958.917,12,"-0.0833333333333333,plight_cl_9,0.333333333333333,C,0.666666666666667,Cl",plight_cl
TAE-PTComp_0555_plight_cl_10,TAE-PTComp,0.174472266197197,109.483,1313.796,12,"-0.0833333333333333,plight_cl_10,0.5,C,0.25,F,0.25,Cl",plight_cl
TAE-PTComp_0556_plight_cl_11,TAE-PTComp,0.139139253842119,87.3112,873.112,10,"-0.1,plight_cl_11,0.4,C,0.6,Cl",plight_cl
TAE-PTComp_0557_plight_cl_12,TAE-PTComp,0.119173588043765,74.7825555555556,673.043,9,"-0.111111111111111,plight_cl_12,0.555555555555556,H,0.111111111111111,C,0.111111111111111,N,0.222222222222222,Cl",plight_cl
TAE-PTComp_0558_plight_cl_13,TAE-PTComp,0.118798047011644,74.5469,745.469,10,"-0.1,plight_cl_13,0.4,H,0.2,C,0.4,Cl",plight_cl
TAE-PTComp_0559_plight_cl_14,TAE-PTComp,0.125916823993728,79.014,395.07,5,"-0.2,plight_cl_14,0.6,H,0.2,C,0.2,Cl",plight_cl
TAE-PTComp_0560_plight_cl_15,TAE-PTComp,0.138101898986286,86.66025,346.641,4,"-0.25,plight_cl_15,0.25,C,0.25,O,0.5,Cl",plight_cl
TAE-PTComp_0561_plight_cl_16,TAE-PTComp,0.0536554980043977,33.6693333333333,101.008,3,"-0.333333333333333,plight_cl_16,0.333333333333333,O,0.666666666666667,Cl",plight_cl
TAE-PTComp_0562_plight_cl_17,TAE-PTComp,0.151259867656525,94.917,284.751,3,"-0.333333333333333,plight_cl_17,0.333333333333333,C,0.333333333333333,N,0.333333333333333,Cl",plight_cl
TAE-PTComp_0563_plight_cl_18,TAE-PTComp,0.049889286606774,31.306,62.612,2,"-0.5,plight_cl_18,0.5,F,0.5,Cl",plight_cl
TAE-PTComp_0564_plight_cl_19,TAE-PTComp,0.142376203642278,89.3424166666667,1072.109,12,"-0.0833333333333333,plight_cl_19,0.583333333333333,H,0.25,C,0.0833333333333333,O,0.0833333333333333,Cl",plight_cl
TAE-PTComp_0565_plight_cl_20,TAE-PTComp,0.0938318900888486,58.8804,294.402,5,"-0.2,plight_cl_20,0.4,H,0.2,O,0.4,Cl",plight_cl
TAE-PTComp_0566_plight_cl_21,TAE-PTComp,0.121015224691833,75.9382,379.691,5,"-0.2,plight_cl_21,0.2,H,0.2,C,0.2,N,0.2,F,0.2,Cl",plight_cl
TAE-PTComp_0567_plight_cl_22,TAE-PTComp,0.080043944210287,50.2283333333333,301.37,6,"-0.166666666666667,plight_cl_22,0.5,H,0.166666666666667,N,0.333333333333333,Cl",plight_cl
TAE-PTComp_0568_plight_cl_23,TAE-PTComp,0.0668539707111761,41.9515,251.709,6,"-0.166666666666667,plight_cl_23,0.333333333333333,N,0.666666666666667,Cl",plight_cl
TAE-PTComp_0569_plight_cl_24,TAE-PTComp,0.0593803783690015,37.26175,149.047,4,"-0.25,plight_cl_24,0.25,N,0.75,Cl",plight_cl
TAE-PTComp_0570_plight_cl_25,TAE-PTComp,0.10978001583618,68.888,413.328,6,"-0.166666666666667,plight_cl_25,0.666666666666667,H,0.166666666666667,N,0.166666666666667,Cl",plight_cl
TAE-PTComp_0571_plight_cl_26,TAE-PTComp,0.0841347191007102,52.7953333333333,316.772,6,"-0.166666666666667,plight_cl_26,0.166666666666667,P,0.833333333333333,Cl",plight_cl
TAE-PTComp_0572_plight_cl_27,TAE-PTComp,0.172968880307609,108.539611111111,1953.713,18,"-0.0555555555555556,plight_cl_27,0.555555555555556,C,0.444444444444444,Cl",plight_cl
TAE-PTComp_0573_plight_cl_28,TAE-PTComp,0.0795513885659363,49.91925,199.677,4,"-0.25,plight_cl_28,0.5,S,0.5,Cl",plight_cl
TAE-PTComp_0574_plight_cl_29,TAE-PTComp,0.0508547814206359,31.9118571428571,223.383,7,"-0.142857142857143,plight_cl_29,0.142857142857143,S,0.857142857142857,Cl",plight_cl
TAE-PTComp_0575_plight_cl_30,TAE-PTComp,0.110924752868885,69.6063333333333,208.819,3,"-0.333333333333333,plight_cl_30,0.333333333333333,Si,0.666666666666667,Cl",plight_cl
TAE-PTComp_0576_plight_cl_31,TAE-PTComp,0.144409869047646,90.6185609756098,3715.361,41,"-0.024390243902439,plight_cl_31,0.658536585365854,H,0.219512195121951,C,0.0975609756097561,Si,0.024390243902439,Cl",plight_cl
TAE-PTComp_0577_plight_cl_32,TAE-PTComp,0.150448724524766,94.408,660.856,7,"-0.142857142857143,plight_cl_32,0.571428571428571,H,0.142857142857143,C_cation,0.142857142857143,C,0.142857142857143,Cl",plight_cl
TAE-PTComp_0578_plight_cl_33,TAE-PTComp,0.122499611310947,76.8696666666667,230.609,3,"-0.333333333333333,plight_cl_33,0.666666666666667,H,0.333333333333333,Cl_cation",plight_cl
TAE-PTComp_0579_plight_cl_34,TAE-PTComp,0.107515508193293,67.467,472.269,7,"-0.142857142857143,plight_cl_34,0.285714285714286,H,0.571428571428571,O,0.142857142857143,Cl_cation",plight_cl
TAE-PTComp_0580_plight_cl_35,TAE-PTComp,0.181052592968309,113.612217391304,2613.081,23,"-0.0434782608695652,plight_cl_35,0.434782608695652,H,0.0434782608695652,C_cation,0.391304347826087,C,0.0869565217391304,N,0.0434782608695652,Cl",plight_cl
TAE-PTComp_0581_plight_cl_36,TAE-PTComp,0.0806282647374219,50.595,202.38,4,"-0.25,plight_cl_36,0.25,S_cation,0.75,Cl",plight_cl
TAE-PTComp_0582_plight_ar_1,TAE-PTComp,0.147024473435636,92.25925,1107.111,12,"-0.0833333333333333,plight_ar_1,0.416666666666667,H,0.0833333333333333,C_anion,0.333333333333333,C,0.166666666666667,Ar",plight_ar
TAE-PTComp_0583_plight_ar_2,TAE-PTComp,0.160035106409321,100.423545454545,1104.659,11,"-0.0909090909090909,plight_ar_2,0.454545454545455,H,0.0909090909090909,C_anion,0.363636363636364,C,0.0909090909090909,Ar",plight_ar
TAE-PTComp_0584_plight_ar_3,TAE-PTComp,0.103331446326404,64.8414615384615,842.939,13,"-0.0769230769230769,plight_ar_3,0.692307692307692,H,0.230769230769231,B,0.0769230769230769,Ar",plight_ar
TAE-PTComp_0585_plight_ar_4,TAE-PTComp,0.105305839188113,66.0804117647059,1123.367,17,"-0.0588235294117647,plight_ar_4,0.705882352941177,H,0.235294117647059,B,0.0588235294117647,Ar",plight_ar
TAE-PTComp_0586_plight_ar_5,TAE-PTComp,0.167403295389275,105.047153846154,1365.613,13,"-0.0769230769230769,plight_ar_5,0.461538461538462,H,0.461538461538462,C,0.0769230769230769,Ar",plight_ar
TAE-PTComp_0587_plight_ar_6,TAE-PTComp,0.0208002171645632,13.0523333333333,39.157,3,"-0.333333333333333,plight_ar_6,0.666666666666667,F,0.333333333333333,Ar",plight_ar
TAE-PTComp_0588_plight_ar_7,TAE-PTComp,0.0693611838530159,43.5248,217.624,5,"-0.2,plight_ar_7,0.4,H,0.4,Cl,0.2,Ar",plight_ar
TAE-PTComp_0589_plight_ar_8,TAE-PTComp,0.18106214363688,113.618210526316,2158.746,19,"-0.0526315789473684,plight_ar_8,0.421052631578947,H,0.526315789473684,C,0.0526315789473684,Ar",plight_ar
TAE-PTComp_0590_plight_ar_9,TAE-PTComp,0.104515878109449,65.5847037037037,1770.787,27,"-0.037037037037037,plight_ar_9,0.592592592592593,H,0.37037037037037,Si,0.037037037037037,Ar",plight_ar
TAE-PTComp_0591_plight_ar_10,TAE-PTComp,0.0994619777279367,62.4133333333333,561.72,9,"-0.111111111111111,plight_ar_10,0.666666666666667,H,0.222222222222222,B,0.111111111111111,Ar",plight_ar
TAE-PTComp_0592_plight_ar_11,TAE-PTComp,0.0895466958230333,56.1914,280.957,5,"-0.2,plight_ar_11,0.6,H,0.2,B,0.2,Ar",plight_ar
TAE-PTComp_0593_plight_ar_12,TAE-PTComp,0.128075470969686,80.3685714285714,562.58,7,"-0.142857142857143,plight_ar_12,0.571428571428571,H,0.285714285714286,C,0.142857142857143,Ar",plight_ar
TAE-PTComp_0594_plight_ar_13,TAE-PTComp,0.103249835545088,64.79025,259.161,4,"-0.25,plight_ar_13,0.25,C,0.5,F,0.25,Ar",plight_ar
TAE-PTComp_0595_plight_ar_14,TAE-PTComp,0.157908600511709,99.0891428571429,693.624,7,"-0.142857142857143,plight_ar_14,0.428571428571429,H,0.142857142857143,C_cation,0.285714285714286,C,0.142857142857143,Ar",plight_ar
TAE-PTComp_0596_plight_ar_15,TAE-PTComp,0.0406479918698966,25.507,51.014,2,"-0.5,plight_ar_15,0.5,F,0.5,Ar_cation",plight_ar
TAE-PTComp_0597_plight_ar_16,TAE-PTComp,0.0744562463694402,46.722,93.444,2,"-0.5,plight_ar_16,0.5,Ar",plight_ar
TAE-PTComp_0598_plight_ar_17,TAE-PTComp,0.0375744658971673,23.5783333333333,70.735,3,"-0.333333333333333,plight_ar_17,0.333333333333333,O,0.333333333333333,Ar",plight_ar
TAE-PTComp_0599_plight_ar_18,TAE-PTComp,0.12779121800468,80.1902,400.951,5,"-0.2,plight_ar_18,0.2,C_cation,0.6,F,0.2,Ar",plight_ar
TAE-PTComp_0600_plight_ar_19,TAE-PTComp,0.114225845126909,71.6778,358.389,5,"-0.2,plight_ar_19,0.6,H,0.2,C_cation,0.2,Ar",plight_ar
TAE-PTComp_0601_plight_ar_20,TAE-PTComp,0.129211754326193,81.0816,405.408,5,"-0.2,plight_ar_20,0.4,H,0.2,O,0.2,Ar",plight_ar
TAE-PTComp_0602_plight_ar_21,TAE-PTComp,0.135936593032892,85.3015,511.809,6,"-0.166666666666667,plight_ar_21,0.5,H,0.166666666666667,N,0.166666666666667,Ar",plight_ar
TAE-PTComp_0603_pheavy_ga_1,TAE-PTComp,0.110226401305546,69.1681111111111,622.513,9,"-0.111111111111111,pheavy_ga_1,0.111111111111111,Cl_anion,0.666666666666667,Cl,0.222222222222222,Ga",pheavy_ga
TAE-PTComp_0604_pheavy_ga_2,TAE-PTComp,0.0792620171048847,49.7376666666667,149.213,3,"-0.333333333333333,pheavy_ga_2,0.333333333333333,Cl_anion,0.333333333333333,Cl,0.333333333333333,Ga",pheavy_ga
TAE-PTComp_0605_pheavy_ga_3,TAE-PTComp,0.142017298038497,89.1172,445.586,5,"-0.2,pheavy_ga_3,0.2,F_anion,0.6,F,0.2,Ga",pheavy_ga
TAE-PTComp_0606_pheavy_ga_4,TAE-PTComp,0.128231188595878,80.4662857142857,1689.792,21,"-0.0476190476190476,pheavy_ga_4,0.380952380952381,H,0.0952380952380952,C,0.0952380952380952,O,0.142857142857143,F,0.0476190476190476,Cl_anion,0.238095238095238,Ga",pheavy_ga
TAE-PTComp_0607_pheavy_ga_5,TAE-PTComp,0.118827194740796,74.5651904761905,1565.869,21,"-0.0476190476190476,pheavy_ga_5,0.380952380952381,H,0.0952380952380952,C,0.0952380952380952,O,0.142857142857143,F,0.0476190476190476,P,0.0476190476190476,Cl_anion,0.19047619047619,Ga",pheavy_ga
TAE-PTComp_0608_pheavy_ga_6,TAE-PTComp,0.122698084584733,76.9942105263158,1462.89,19,"-0.0526315789473684,pheavy_ga_6,0.368421052631579,H,0.105263157894737,C,0.105263157894737,O,0.105263157894737,F,0.0526315789473684,P,0.0526315789473684,Cl_anion,0.210526315789474,Ga",pheavy_ga
TAE-PTComp_0609_pheavy_ga_7,TAE-PTComp,0.151851338959341,95.2881538461538,1238.746,13,"-0.0769230769230769,pheavy_ga_7,0.307692307692308,H,0.230769230769231,C,0.153846153846154,N,0.230769230769231,Cl,0.0769230769230769,Ga",pheavy_ga
TAE-PTComp_0610_pheavy_ga_8,TAE-PTComp,0.103595248656697,65.007,1170.126,18,"-0.0555555555555556,pheavy_ga_8,0.444444444444444,H,0.277777777777778,P,0.111111111111111,Cl,0.166666666666667,Ga",pheavy_ga
TAE-PTComp_0611_pheavy_ga_9,TAE-PTComp,0.14604063171608,91.64188,4582.094,50,"-0.02,pheavy_ga_9,0.64,H,0.24,C,0.04,N,0.04,O,0.04,Ga",pheavy_ga
TAE-PTComp_0612_pheavy_ga_10,TAE-PTComp,0.0986711427991138,61.9170769230769,1609.844,26,"-0.0384615384615385,pheavy_ga_10,0.615384615384615,H,0.230769230769231,P,0.153846153846154,Ga",pheavy_ga
TAE-PTComp_0613_pheavy_ga_11,TAE-PTComp,0.113907543159759,71.4780625,1143.649,16,"-0.0625,pheavy_ga_11,0.5,H,0.25,N,0.25,Ga",pheavy_ga
TAE-PTComp_0614_pheavy_ga_12,TAE-PTComp,0.111033294833471,69.6744444444444,627.07,9,"-0.111111111111111,pheavy_ga_12,0.666666666666667,H,0.111111111111111,C,0.111111111111111,F,0.111111111111111,Ga",pheavy_ga
TAE-PTComp_0615_pheavy_ga_13,TAE-PTComp,0.0958664808843202,60.157125,481.257,8,"-0.125,pheavy_ga_13,0.25,Ga,0.75,Br",pheavy_ga
TAE-PTComp_0616_pheavy_ga_14,TAE-PTComp,0.0938744790872696,58.907125,471.257,8,"-0.125,pheavy_ga_14,0.5,H,0.25,Cl,0.25,Ga",pheavy_ga
TAE-PTComp_0617_pheavy_ga_15,TAE-PTComp,0.129724256548538,81.4032,1628.064,20,"-0.05,pheavy_ga_15,0.7,H,0.2,C,0.1,Ga",pheavy_ga
TAE-PTComp_0618_pheavy_ga_16,TAE-PTComp,0.0810718835376251,50.873375,406.987,8,"-0.125,pheavy_ga_16,0.25,Ga,0.75,I",pheavy_ga
TAE-PTComp_0619_pheavy_ga_17,TAE-PTComp,0.12972433622861,81.40325,1628.065,20,"-0.05,pheavy_ga_17,0.7,H,0.2,C,0.1,Ga",pheavy_ga
TAE-PTComp_0620_pheavy_ga_18,TAE-PTComp,0.145532962090094,91.3233125,2922.346,32,"-0.03125,pheavy_ga_18,0.5625,H,0.1875,C,0.1875,O,0.0625,Ga",pheavy_ga
TAE-PTComp_0621_pheavy_ga_19,TAE-PTComp,0.116644586828936,73.1955833333333,878.347,12,"-0.0833333333333333,pheavy_ga_19,0.5,H,0.25,N,0.25,Ga",pheavy_ga
TAE-PTComp_0622_pheavy_ga_20,TAE-PTComp,0.132869707066153,83.377,833.77,10,"-0.1,pheavy_ga_20,0.6,O,0.4,Ga",pheavy_ga
TAE-PTComp_0623_pheavy_ga_21,TAE-PTComp,0.122875913730422,77.1058,1156.587,15,"-0.0666666666666667,pheavy_ga_21,0.6,S,0.4,Ga",pheavy_ga
TAE-PTComp_0624_pheavy_ga_22,TAE-PTComp,0.176008434239025,110.44696,2761.174,25,"-0.04,pheavy_ga_22,0.36,H,0.36,C,0.24,O,0.04,Ga",pheavy_ga
TAE-PTComp_0625_pheavy_ga_23,TAE-PTComp,0.0708815991446328,44.478875,355.831,8,"-0.125,pheavy_ga_23,0.375,H,0.125,N,0.375,Cl,0.125,Ga",pheavy_ga
